Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
2,0.93,0.94,0.88
3,0.8,0.73,0.71
3,0.85,0.76,0.68
4,0.87,0.85,0.85
4,0.9,0.9,0.82
3,0.88,0.88,0.8
3,0.83,0.84,0.75
3,0.88,0.89,0.75
3,0.85,0.84,0.76
4,0.88,0.85,0.87
2,0.68,0.69,0.76
2,0.79,0.79,0.66
3,0.9,0.92,0.77
3,0.84,0.82,0.72
3,0.67,0.56,0.69
3,0.74,0.79,0.71
3,0.7,0.7,0.65
3,0.91,0.92,0.89
3,0.81,0.8,0.76
4,0.98,0.95,0.96
3,0.91,0.93,0.79
3,0.93,0.9,0.91
3,0.75,0.79,0.76
3,0.93,0.87,0.86
3,0.82,0.76,0.82
3,0.78,0.78,0.68
4,0.94,0.97,0.93
3,0.84,0.7,0.83
4,0.86,0.92,0.81
4,0.92,0.91,0.84
2,0.69,0.62,0.64
3,0.79,0.73,0.76
2,0.71,0.68,0.69
3,0.9,0.89,0.84
4,0.76,0.76,0.72
4,0.75,0.73,0.7
2,0.85,0.73,0.85
3,0.91,0.88,0.86
3,0.58,0.61,0.58
3,0.62,0.66,0.65
3,0.65,0.64,0.7
3,0.81,0.81,0.8
4,0.89,0.91,0.82
3,0.93,0.88,0.88
3,0.85,0.86,0.87
3,0.96,0.95,0.91
3,0.72,0.83,0.8
2,0.77,0.77,0.74
3,0.94,0.91,0.9
4,0.87,0.84,0.75
3,0.85,0.85,0.79
4,0.96,0.93,0.93
3,0.86,0.92,0.76
3,0.85,0.8,0.84
3,0.91,0.92,0.88
2,0.76,0.79,0.7
3,0.83,0.72,0.67
4,0.93,0.93,0.91
2,0.86,0.86,0.85
4,0.89,0.92,0.78
3,0.84,0.85,0.81
4,0.86,0.76,0.77
3,0.85,0.9,0.68
4,0.73,0.6,0.69
3,0.86,0.95,0.88
2,0.81,0.83,0.73
4,0.8,0.68,0.67
3,0.77,0.82,0.7
3,0.76,0.75,0.73
3,0.92,0.95,0.91
2,0.9,0.85,0.89
2,0.82,0.75,0.75
3,0.87,0.8,0.82
3,0.78,0.79,0.66
3,0.82,0.78,0.75
3,0.86,0.91,0.74
3,0.82,0.86,0.68
3,0.94,0.94,0.93
3,0.81,0.8,0.72
3,0.78,0.75,0.69
3,0.58,0.66,0.73
4,0.78,0.75,0.87
3,0.87,0.93,0.88
2,0.72,0.59,0.56
3,0.64,0.59,0.69
3,0.87,0.81,0.8
2,0.8,0.81,0.66
2,0.87,0.83,0.88
2,0.9,0.94,0.84
3,0.96,0.91,0.87
3,0.82,0.79,0.76
3,0.85,0.88,0.85
2,0.88,0.9,0.86
3,0.9,0.9,0.76
2,0.7,0.64,0.63
2,0.8,0.7,0.68
3,0.84,0.79,0.77
3,0.87,0.85,0.76
4,0.85,0.74,0.75
1,0.72,0.6,0.66
3,0.82,0.82,0.72
3,0.53,0.43,0.57
2,0.84,0.87,0.71
3,0.89,0.9,0.72
4,0.96,0.97,0.97
3,0.88,0.91,0.79
3,0.86,0.87,0.8
3,0.78,0.75,0.76
3,0.88,0.87,0.85
3,0.81,0.73,0.92
3,0.67,0.68,0.62
3,0.9,0.89,0.75
3,0.93,0.83,0.86
4,0.84,0.81,0.81
2,0.88,0.88,0.86
2,0.84,0.78,0.79
3,0.89,0.88,0.84
4,0.87,0.8,0.82
3,0.9,0.92,0.8
3,0.81,0.72,0.77
4,0.84,0.81,0.77
4,0.82,0.8,0.76
